iter	MultiClass
0	1.526198599
1	1.452475363
2	1.389339324
3	1.333919834
4	1.276907098
5	1.217524863
6	1.16763603
7	1.117543416
8	1.074025024
9	1.035295175
10	1.009324454
11	0.9678939477
12	0.9388413911
13	0.9053732844
14	0.8769596263
15	0.8469700233
16	0.8211999614
17	0.7999171832
18	0.7730726334
19	0.7501470115
20	0.7261479826
21	0.7028726717
22	0.6802410429
23	0.6590736203
24	0.6365780336
25	0.6175443734
26	0.59570036
27	0.5757528495
28	0.5577950743
29	0.5387886597
30	0.5223940302
31	0.5056299693
32	0.4912372104
33	0.4748197217
34	0.4591590899
35	0.4467054438
36	0.4354107884
37	0.4212597376
38	0.410888379
39	0.4008872001
40	0.3881346382
41	0.3767282976
42	0.3674029842
43	0.3568464675
44	0.3464304787
45	0.3364661494
46	0.3259680831
47	0.3165337233
48	0.3083083684
49	0.3007805801
50	0.2942869697
51	0.2865439706
52	0.2785368958
53	0.2716489396
54	0.2646154339
55	0.2583119315
56	0.2516482984
57	0.2454222848
58	0.2397368151
59	0.2335569179
60	0.2285722464
61	0.223546564
62	0.217718513
63	0.2118508092
64	0.2066370086
65	0.20096573
66	0.1967812597
67	0.1915999275
68	0.1866497824
69	0.181711247
70	0.1771773116
71	0.1725678298
72	0.1678329354
73	0.1633228507
74	0.1588930996
75	0.1546546471
76	0.1510265467
77	0.1472099786
78	0.1436839369
79	0.1404403956
80	0.1369396665
81	0.1337735243
82	0.1314004939
83	0.1283271627
84	0.1252031652
85	0.1219949603
86	0.1193848559
87	0.1167345802
88	0.1139710569
89	0.1111116078
90	0.1084907433
91	0.1061913477
92	0.1042908569
93	0.1022208719
94	0.09975343035
95	0.09764005394
96	0.09566173684
97	0.09375600625
98	0.09161040125
99	0.09014935705
100	0.08843225979
101	0.08689914797
102	0.0853212932
103	0.08362099467
104	0.08178406599
105	0.08051831634
106	0.07942693282
107	0.0779127427
108	0.07646456406
109	0.07513289684
110	0.07417349809
111	0.0732782927
112	0.07165872787
113	0.0702486526
114	0.06873965892
115	0.06744600774
116	0.0661530892
117	0.06538242018
118	0.06440317588
119	0.06336985355
120	0.06220409949
121	0.06123758159
122	0.05996766376
123	0.0587952823
124	0.05785865484
125	0.05715206388
126	0.05612223897
127	0.05502225123
128	0.05388646477
129	0.05287888913
130	0.05185368125
131	0.05114204426
132	0.0502035744
133	0.04929223536
134	0.04857121497
135	0.04785168042
136	0.04699518253
137	0.04627211958
138	0.04551224259
139	0.04468591076
140	0.04411744048
141	0.04329026503
142	0.0425357229
143	0.04200466463
144	0.04126231417
145	0.04056094716
146	0.03990672002
147	0.03954238954
148	0.03886288742
149	0.03847842828
150	0.03794948241
151	0.03749299472
152	0.03704942871
153	0.0364587599
154	0.03581004065
155	0.0354006844
156	0.03479429551
157	0.03443193215
158	0.03385605649
159	0.03333445389
160	0.0327953691
161	0.03249407764
162	0.03213057962
163	0.03158806253
164	0.03114176145
165	0.03071087549
166	0.03024229135
167	0.02980498244
168	0.02954852695
169	0.02924428651
170	0.02880553864
171	0.02840000457
172	0.02818287831
173	0.02773370792
174	0.02748570278
175	0.02732749883
176	0.02690843028
177	0.02666209948
178	0.02643682209
179	0.0261594866
180	0.02592806785
181	0.02563482136
182	0.02527500264
183	0.02503206478
184	0.02468822226
185	0.02442612501
186	0.02414295303
187	0.02378490119
188	0.02359447525
189	0.023455521
190	0.0232804032
191	0.02294114187
192	0.02274308364
193	0.02249787774
194	0.0223017109
195	0.02202731563
196	0.02189547875
197	0.0217262215
198	0.02153946926
199	0.02127979937
200	0.02115070112
201	0.02086808387
202	0.02067981143
203	0.02046426896
204	0.02030750648
205	0.02004142786
206	0.01988619045
207	0.019644238
208	0.01947042258
209	0.01931240248
210	0.01910388104
211	0.0189903259
212	0.01886809022
213	0.01867286589
214	0.01847711814
215	0.01834226228
216	0.01810604083
217	0.01792418021
218	0.01778021269
219	0.01755514031
220	0.01735775297
221	0.01714111399
222	0.01692877309
223	0.01672062201
224	0.01653058505
225	0.01634807861
226	0.01617281448
227	0.01597936157
228	0.01582724201
229	0.01566147053
230	0.01548315932
231	0.01530275778
232	0.01515263421
233	0.0149784881
234	0.01485459939
235	0.01471564447
236	0.01457513445
237	0.01441153897
238	0.01425094342
239	0.01417090461
240	0.01401458613
241	0.013861097
242	0.01373734716
243	0.01358877596
244	0.01347026281
245	0.0133395307
246	0.01326522541
247	0.01315127149
248	0.01303058
249	0.01291060507
250	0.01279955166
251	0.01267968382
252	0.01254944674
253	0.01242144093
254	0.01229561611
255	0.01217192333
256	0.01211513523
257	0.01199967574
258	0.01188092288
259	0.01180595182
260	0.01173531948
261	0.01162079468
262	0.01150815479
263	0.01140234566
264	0.0112932913
265	0.01119889631
266	0.01109309939
267	0.01098899862
268	0.01089003044
269	0.01079264306
270	0.01069333099
271	0.01059557703
272	0.01049934847
273	0.01040461345
274	0.01031134089
275	0.01022389555
276	0.01013340583
277	0.01004429082
278	0.009956522435
279	0.009870073288
280	0.009788002214
281	0.009704075372
282	0.009625499893
283	0.009543984263
284	0.009463662028
285	0.009384509559
286	0.009306503801
287	0.00922962225
288	0.009153842947
289	0.009079144455
290	0.009005505848
291	0.008932906696
292	0.008861327054
293	0.008790747446
294	0.00872114885
295	0.008652512694
296	0.008588384925
297	0.008529249997
298	0.008465792443
299	0.008400646537
300	0.008336379807
301	0.008272976029
302	0.008210419347
303	0.008148694265
304	0.008087785639
305	0.008027678663
306	0.007968358865
307	0.007909812096
308	0.007852024522
309	0.007794982615
310	0.007738673146
311	0.007683083178
312	0.007628200057
313	0.007574011406
314	0.007520505115
315	0.007467669338
316	0.007415492485
317	0.007363963216
318	0.007313070431
319	0.007262803269
320	0.007213151101
321	0.007164103519
322	0.00711565034
323	0.00707052341
324	0.007023202373
325	0.006976446815
326	0.006930247369
327	0.00688459486
328	0.006839480305
329	0.006794894905
330	0.00675083004
331	0.006707277267
332	0.006664228313
333	0.006621675075
334	0.00657960961
335	0.006540493409
336	0.006499357057
337	0.006458685904
338	0.006418472619
339	0.006378710017
340	0.006342362471
341	0.006305829145
342	0.006267327425
343	0.006229249673
344	0.006191589369
345	0.006154340118
346	0.006117495651
347	0.006081049817
348	0.006044996582
349	0.00600933003
350	0.005976255456
351	0.005943534632
352	0.005908954522
353	0.005874739014
354	0.005840882722
355	0.005807380358
356	0.005774226731
357	0.005744038893
358	0.005711544334
359	0.005681478219
360	0.005649628711
361	0.005618103897
362	0.005586899125
363	0.00555600983
364	0.005525431527
365	0.005495159812
366	0.005465190359
367	0.005435518922
368	0.005406141329
369	0.005377053482
370	0.005348251354
371	0.005319730993
372	0.005291488512
373	0.005263520094
374	0.005235821989
375	0.005208390512
376	0.00518122204
377	0.005154313014
378	0.005127659937
379	0.00510125937
380	0.005076318357
381	0.005050402821
382	0.005026477545
383	0.005001030036
384	0.004975818976
385	0.004950841255
386	0.004926093819
387	0.004901573663
388	0.004877277833
389	0.004853203423
390	0.004829347575
391	0.004805707479
392	0.00478228037
393	0.004759063527
394	0.004736054277
395	0.004713249987
396	0.004690648068
397	0.004668245972
398	0.004646041192
399	0.004624031262
400	0.004602213755
401	0.004580586282
402	0.004559146492
403	0.004537892072
404	0.004516820744
405	0.004497404971
406	0.00447849278
407	0.004459405726
408	0.004439009334
409	0.004418785547
410	0.004398732288
411	0.00437884751
412	0.004359129199
413	0.004339575372
414	0.004320184076
415	0.004300953387
416	0.004281881409
417	0.004262966279
418	0.004244206156
419	0.004225599232
420	0.004207143724
421	0.004188837873
422	0.004170679951
423	0.004152668252
424	0.004134801097
425	0.004117076831
426	0.004099493822
427	0.004082050465
428	0.004064745176
429	0.004047576394
430	0.004030542582
431	0.004013642225
432	0.003996873828
433	0.00398023592
434	0.00396372705
435	0.003947345787
436	0.00393109072
437	0.003914960461
438	0.003898953638
439	0.003883068901
440	0.003867304918
441	0.003851660374
442	0.003836133976
443	0.003822132925
444	0.00380682944
445	0.003791640414
446	0.003776564623
447	0.003761600856
448	0.003746747923
449	0.003733117933
450	0.003718475786
451	0.003705046462
452	0.003690610753
453	0.003676280291
454	0.003663144467
455	0.003649729612
456	0.00363569661
457	0.003621764652
458	0.003607932695
459	0.003594199709
460	0.003580564677
461	0.003567026598
462	0.003553584481
463	0.003540237351
464	0.003526984244
465	0.003513824209
466	0.003501773229
467	0.003488790097
468	0.003475897316
469	0.003463093983
470	0.00345103411
471	0.003439395109
472	0.003428049271
473	0.003415577149
474	0.003403190289
475	0.003390887853
476	0.003378669013
477	0.003366532953
478	0.003354478867
479	0.003342505957
480	0.003330613437
481	0.003318800532
482	0.003307066473
483	0.003295410505
484	0.003283831877
485	0.003272329853
486	0.003260903703
487	0.003249552705
488	0.003238276148
489	0.003227073329
490	0.003215943554
491	0.003204886136
492	0.003193900398
493	0.00318298567
494	0.003172141291
495	0.003161366607
496	0.003153647691
497	0.003142989761
498	0.003132399816
499	0.003122727549
